Time	Annual Peak Streamflow (cfs)	Day	Month	Year	DecYear	Rank
14/04/1979	77900	14	4	1979	1979.28	1
22/05/1983	52300	22	5	1983	1983.39	2
08/03/1935	31400	8	3	1935	1935.18	3
24/02/2003	30300	24	2	2003	2003.15	4
14/12/1932	28900	14	12	1932	1932.95	5
15/04/1974	28800	15	4	1974	1974.29	6
24/02/1961	27800	24	2	1961	1961.15	7
06/04/1977	26700	6	4	1977	1977.26	8
01/05/1991	25900	1	5	1991	1991.33	9
20/12/1961	25300	20	12	1961	1961.97	10
09/04/2014	24500	9	4	2014	2014.27	11
16/02/1950	24100	16	2	1950	1950.13	12
30/03/1944	23300	30	3	1944	1944.25	13
31/03/1951	22400	31	3	1951	1951.25	14
18/02/1990	22300	18	2	1990	1990.13	15
15/04/1980	21700	15	4	1980	1980.29	16
01/12/1948	21400	1	12	1948	1948.92	17
13/01/1972	21300	13	1	1972	1972.04	18
18/03/1976	21000	18	3	1976	1976.21	19
23/02/1945	19900	23	2	1945	1945.15	20
12/02/1946	19900	12	2	1946	1946.12	21
07/02/1936	19700	7	2	1936	1936.10	22
19/04/1912	19500	19	4	1912	1912.30	23
18/04/1921	19500	18	4	1921	1921.30	24
08/02/2004	19300	8	2	2004	2004.11	25
29/01/1996	18600	29	1	1996	1996.08	26
06/04/2000	18500	6	4	2000	2000.27	27
14/03/2016	18400	14	3	2016	2016.20	28
02/03/1987	18200	2	3	1987	1987.17	29
02/02/1999	18200	2	2	1999	1999.09	30
16/04/1969	18000	16	4	1969	1969.29	31
18/01/2013	17700	18	1	2013	2013.05	32
22/05/1930	16100	22	5	1930	1930.39	33
10/04/1938	15300	10	4	1938	1938.27	34
15/05/1971	15200	15	5	1971	1971.37	35
18/03/1964	15000	18	3	1964	1964.21	36
12/12/2004	14800	12	12	2004	2004.95	37
09/04/1956	14700	9	4	1956	1956.27	38
25/03/2012	14600	25	3	2012	2012.23	39
13/01/1975	14100	13	1	1975	1975.04	40
17/03/1929	13300	17	3	1929	1929.21	41
19/03/1973	13300	19	3	1973	1973.21	42
06/03/1960	12600	6	3	1960	1960.18	43
29/05/1909	12500	29	5	1909	1909.41	44
03/04/1914	12200	3	4	1914	1914.25	45
10/01/2009	11900	10	1	2009	2009.03	46
15/02/1965	11800	15	2	1965	1965.13	47
26/04/1995	11700	26	4	1995	1995.32	48
05/05/1958	11600	5	5	1958	1958.34	49
19/02/1993	11500	19	2	1993	1993.14	50
13/07/1940	11400	13	7	1940	1940.53	51
11/01/1998	11400	11	1	1998	1998.03	52
13/03/2011	11300	13	3	2011	2011.20	53
12/12/1919	10500	12	12	1919	1919.95	54
26/04/1928	10500	26	4	1928	1928.32	55
07/03/1934	10500	7	3	1934	1934.18	56
22/01/1947	10500	22	1	1947	1947.06	57
15/03/1927	10200	15	3	1927	1927.20	58
22/12/1967	10200	22	12	1967	1967.98	59
23/03/1970	10200	23	3	1970	1970.22	60
31/01/1994	10200	31	1	1994	1994.08	61
06/03/2001	10200	6	3	2001	2001.18	62
24/03/1943	10100	24	3	1943	1943.23	63
05/04/1981	9980	5	4	1981	1981.26	64
03/01/1916	9800	3	1	1916	1916.01	65
24/01/1937	9800	24	1	1937	1937.07	66
16/01/1989	9780	16	1	1989	1989.04	67
17/02/1966	9740	17	2	1966	1966.13	68
07/04/1957	9550	7	4	1957	1957.27	69
28/02/2006	9520	28	2	2006	2006.16	70
07/03/1917	9400	7	3	1917	1917.18	71
13/02/1948	9270	13	2	1948	1948.12	72
04/03/1922	9200	4	3	1922	1922.17	73
07/04/2017	9200	7	4	2017	2017.27	74
07/05/1984	9150	7	5	1984	1984.35	75
26/03/1923	9020	26	3	1923	1923.23	76
04/05/1953	9000	4	5	1953	1953.34	77
16/04/1955	8750	16	4	1955	1955.29	78
24/02/1932	8620	24	2	1932	1932.15	79
16/02/1997	8480	16	2	1997	1997.13	80
12/05/1978	8150	12	5	1978	1978.36	81
25/01/2010	7510	25	1	2010	2010.07	82
08/02/1939	7490	8	2	1939	1939.11	83
25/04/1982	7460	25	4	1982	1982.32	84
16/03/1913	7380	16	3	1913	1913.21	85
21/01/1925	7240	21	1	1925	1925.06	86
07/02/1985	7020	7	2	1985	1985.10	87
27/07/1931	6720	27	7	1931	1931.57	88
15/02/1959	5800	15	2	1959	1959.13	89
15/05/1915	5600	15	5	1915	1915.37	90
28/02/2015	5580	28	2	2015	2015.16	91
19/04/1924	5440	19	4	1924	1924.30	92
23/01/1926	5360	23	1	1926	1926.06	93
29/01/2002	5160	29	1	2002	2002.08	94
12/03/1919	5040	12	3	1919	1919.19	95
21/12/1940	5010	21	12	1940	1940.97	96
04/05/1918	4800	4	5	1918	1918.34	97
08/01/2007	4720	8	1	2007	2007.02	98
24/02/2008	3790	24	2	2008	2008.15	99
24/03/1986	3200	24	3	1986	1986.23	100
04/04/1988	3160	4	4	1988	1988.26	101
27/05/1967	3130	27	5	1967	1967.40	102
20/02/1992	3060	20	2	1992	1992.14	103
27/01/1954	2830	27	1	1954	1954.07	104
12/04/1911	2650	12	4	1911	1911.28	105
18/03/1952	2530	18	3	1952	1952.21	106
26/02/1942	2490	26	2	1942	1942.16	107
15/03/1963	1900	15	3	1963	1963.20	108
22/02/1910	1400	22	2	1910	1910.15	109
